project,files,lon,lat,source_h,source_v,target_zone,target_h,target_v,out_srs,vertical_note
FL_Peninsular_FDEM_Glades_2018,968,-81.039,27.038,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Peninsular_FDEM_Hamilton_2018,622,-82.904,30.451,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_Peninsular_FDEM_Hardee_2018,726,-81.76,27.467,EPSG:2237,EPSG:6360,FL West,EPSG:6442,EPSG:5703,EPSG:6442+5703,
FL_Peninsular_FDEM_Hendry_2018,1229,-81.056,26.509,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Peninsular_FDEM_Highlands_2018,1171,-81.19,27.378,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Peninsular_FDEM_IndianRiver_2018,244,-80.459,27.717,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Peninsular_FDEM_KeyBiscayne_2020,14,-80.172,25.69,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Peninsular_FDEM_Lafayette_2018,596,-83.093,30.049,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_Peninsular_FDEM_Madison_2018,864,-83.453,30.441,EPSG:2238,EPSG:6360,FL North,EPSG:6440,EPSG:5703,EPSG:6440+5703,
FL_Peninsular_FDEM_Manatee_2018,897,-82.603,27.502,EPSG:2237,EPSG:6360,FL West,EPSG:6442,EPSG:5703,EPSG:6442+5703,
FL_Peninsular_FDEM_Martin_2018,719,-80.339,27.09,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Peninsular_FDEM_Nassau_2018,763,-81.82,30.562,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Peninsular_FDEM_Okeechobee_2018,825,-80.941,27.337,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
FL_Peninsular_FDEM_Orange_2018,929,-81.263,28.576,EPSG:2236,(none),FL East,EPSG:6437,EPSG:5703,EPSG:6437,CHECK vertical datum+units before Z reprojection
FL_Peninsular_FDEM_Osceola_2018,1698,-81.284,27.963,EPSG:2236,EPSG:6360,FL East,EPSG:6437,EPSG:5703,EPSG:6437+5703,
