"project","filename","geometry"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x37y314_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.32567526 28.28963284, -82.22372008 28.29058456, -82.22475469 28.38083242, -82.32679600 28.37987712, -82.32567526 28.28963284))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x37y315_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.32679600 28.37987712, -82.22475469 28.38083242, -82.22579407 28.47107905, -82.32792192 28.47012017, -82.32679600 28.37987712))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x37y316_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.32792192 28.47012017, -82.22579407 28.47107905, -82.22683825 28.56132444, -82.32905304 28.56036197, -82.32792192 28.47012017))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x38y312_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.22166514 28.11008516, -82.11987633 28.11095422, -82.12081606 28.20120781, -82.22269024 28.20033547, -82.22166514 28.11008516))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x38y313_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.22269024 28.20033547, -82.12081606 28.20120781, -82.12176015 28.29146019, -82.22372008 28.29058456, -82.22269024 28.20033547))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x38y314_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.22372008 28.29058456, -82.12176015 28.29146019, -82.12270859 28.38171134, -82.22475469 28.38083242, -82.22372008 28.29058456))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x38y315_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.22475469 28.38083242, -82.12270859 28.38171134, -82.12366142 28.47196127, -82.22579407 28.47107905, -82.22475469 28.38083242))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x38y316_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.22579407 28.47107905, -82.12366142 28.47196127, -82.12461865 28.56220997, -82.22683825 28.56132444, -82.22579407 28.47107905))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x39y312_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.11987633 28.11095422, -82.01808319 28.11174775, -82.01893754 28.20200434, -82.12081606 28.20120781, -82.11987633 28.11095422))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x39y313_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.12081606 28.20120781, -82.01893754 28.20200434, -82.01979584 28.29225972, -82.12176015 28.29146019, -82.12081606 28.20120781))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x39y314_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.12176015 28.29146019, -82.01979584 28.29225972, -82.02065812 28.38251388, -82.12270859 28.38171134, -82.12176015 28.29146019))"
